"symbol1" "symbol2" "BP"
"ASL" "PPIB" 0.062
"ASL" "RPL4" 0.269
"ASL" "RPLP2" 0.269
"ASNA1" "CSNK2B" 0.159
"ASNA1" "ECHS1" 0.034
"ASNA1" "EEF1G" 0.06
"ASNA1" "EEF2" 0.142
"ASNA1" "EIF5A" 0.237
"ASNA1" "GNAI2" 0.126
"ASNA1" "GNB1" 0.178
"ASNA1" "GNB2" 0.085
"ASNA1" "GTF2H4" 0.174
"ASNA1" "HINT1" 0.1
"ASNA1" "MARS" 0.151
"ASNA1" "NDUFV1" 0.096
"ASNA1" "NONO" 0.128
"ASNA1" "P2RY11" 0.161
"ASNA1" "PCBP1" 0.023
"ASNA1" "PFDN1" NA
"ASNA1" "POLR2L" 0.087
"ASNA1" "PPIB" 0.048
"ASNA1" "PSMA4" 0.03
"ASNA1" "PSMA7" 0.03
"ASNA1" "PSMB4" 0.03
"ASNA1" "PSMC4" 0.077
"ASNA1" "RPL4" 0.27
"ASNA1" "RPLP2" 0.27
"ASNA1" "MRPS12" 0.073
"ASNA1" "RPS9" 0.228
"ASNA1" "USP5" 0.049
"ASNA1" "CLPP" 0.028
"ASNA1" "ZBED1" 0.095
"ASNA1" "ATP6V1F" 0.281
"ASNA1" "MPHOSPH6" 0.117
"ASNA1" "NUDC" 0.015
"ASNA1" "RPL35" 0.26
"ASNA1" "GABARAP" 0.264
"ASNA1" "HSPBP1" 0.059
"ASNA1" "GSPT2" 0.094
"ASNA1" "TXN2" 0.034
"ASNA1" "TIMM13" 0.333
"ASNA1" "SEC61A1" 0.52
"ASNA1" "FIS1" 0.239
"ASNA1" "ISYNA1" 0.028
"ASNA1" "PPAN" 0.238
"ASNA1" "EXOSC5" 0.099
"ASNA1" "XAB2" 0.147
"ASNA1" "LSM2" 0.045
"ASNA1" "MUS81" 0.212
"ASNA1" "YIF1B" 0.324
"ASNA1" "KLHDC3" 0.353
"ASNA1" "TRAPPC5" 0.297
"ASNA1" "TUBB" 0.161
"ATP5G1" "ATP5G2" NA
"ATP5G1" "COX7C" NA
"ATP5G1" "TIMM8A" NA
"ATP5G1" "ECHS1" NA
"ATP5G1" "EIF5A" NA
"ATP5G1" "IDH2" NA
"ATP5G1" "MDH2" NA
"ATP5G1" "NDUFA3" NA
"ATP5G1" "NDUFB7" NA
"ATP5G1" "NDUFB10" NA
"ATP5G1" "NDUFV1" NA
"ATP5G1" "MRPS12" NA
"ATP5G1" "SDHC" NA
"ATP5G1" "UQCRC2" NA
"ATP5G1" "COX7A2L" NA
"ATP5G1" "COX5A" NA
"ATP5G1" "TXN2" NA
"ATP5G1" "TIMM13" NA
"ATP5G1" "UQCRQ" NA
"ATP5G1" "NDUFB11" NA
"ATP5G1" "MRPL16" NA
"ATP5G1" "MRPL17" NA
"ATP5G1" "MRPS24" NA
"ATP5G1" "CHCHD4" NA
"ATP5G2" "COX7C" NA
"ATP5G2" "EIF5A" NA
"ATP5G2" "MDH2" NA
"ATP5G2" "NDUFB7" NA
"ATP5G2" "NDUFB10" NA
"ATP5G2" "NDUFV1" NA
"ATP5G2" "MRPS12" NA
"ATP5G2" "SDHC" NA
"ATP5G2" "UQCRC2" NA
"ATP5G2" "RBM10" NA
"ATP5G2" "COX7A2L" NA
"ATP5G2" "COX5A" NA
"ATP5G2" "TIMM13" NA
"ATP5G2" "UQCRQ" NA
"ATP5G2" "NDUFB11" NA
"ATP5G2" "MRPL16" NA
"ATP6AP1" "IGF2R" 0.22
"ATP6AP1" "LAMP1" 0.31
"ATP6AP1" "ATP6V1F" 0.328
"ATP6AP1" "NDFIP1" 0.345
"KIF1A" "GIT1" 0.027
"BAD" "BID" 0.402
"BAD" "MCL1" 0.34
"BAD" "PPP3CC" 0.16
"BAD" "HRK" 0.316
"BAD" "PIM2" 0.292
"BAD" "BBC3" 0.423
"BCL3" "NFKB2" 0.261
"BCL3" "RELB" 0.279
"BCL3" "STAT3" 0.265
"BCL3" "HDAC3" 0.292
"BID" "CSNK1E" 0.203
"BID" "CSNK2B" 0.22
"BID" "MCL1" 0.388
"BID" "MSN" 0.21
"BID" "RIPK1" 0.345
"BID" "SQSTM1" 0.333
"BID" "BBC3" 0.48
"ZFP36L1" "EXOSC7" 0.241
"ZFP36L1" "EXOSC3" 0.317
"ZFP36L1" "EXOSC5" 0.254
"BST2" "IRF7" 0.347
"BST2" "HARS2" 0.016
"C8G" "LCN1" 0.318
"PTTG1IP" "LAMP1" 0.312
"PTTG1IP" "RNF149" 0.399
"CACNA1A" "GNB1" 0.223
"CACNA1A" "GNB2" 0.082
"CACNA1A" "GRN" 0.173
"CACNA1A" "PRKCG" 0.165
"CACNA1A" "CACNA2D4" 0.198
"CACNA1A" "TUBB2B" 0.133
"CAMK2A" "HRAS" 0.293
"CAMK2A" "ITGA2B" 0.181
"CAMK2A" "MEF2D" 0.136
"CAMK2A" "SRF" 0.254
"CAMK2A" "SYNGAP1" 0.239
"CAMK2A" "SQSTM1" 0.293
"CAMK2A" "CLSTN3" 0.199
"CAMK2A" "GIT1" 0.161
"CAMK2A" "CACNA2D4" 0.131
"CD7" "CTSL" 0.136
"CD7" "SPN" 0.207
"CD22" "CD68" 0.357
"CD22" "CD72" 0
"CD22" "CD79A" 0.42
"CD22" "SPN" 0.26
"CD22" "TNFRSF13B" 0.346
"ENTPD2" "POLR2L" 0.183
"CD53" "GGT1" 0.078
"CD53" "HLA-DRB1" 0.243
"CD53" "SPN" 0.204
"CD63" "HLA-DRA" 0.178
"CD63" "IGF2R" 0.267
"CD63" "LAMP1" 0.31
"CD63" "MSN" 0.302
"CD63" "SPARC" 0.284
"CD63" "SRF" 0.209
"CD68" "CYBA" 0.479
"CD68" "HLA-DMA" 0.234
"CD68" "SPI1" 0.234
"CD68" "VWF" 0.422
"CD72" "CD79A" 0
"CD72" "HLA-DRB1" 0
"CD72" "SELL" 0.342
"CD79A" "CSK" 0.323
"CD79A" "SELL" 0.238
"CD79A" "SLAMF1" 0.253
"CD79A" "SOS1" 0.245
"CD79A" "TNFRSF13B" 0.368
"CD79A" "LAT" 0.294
"CD79A" "FATE1" 0.057
"CDA" "CES2" 0.193
"CDA" "NT5M" 0.381
"CDC25A" "CKS1B" 0.334
"CDC25A" "CSNK1E" 0.271
"CDC25A" "FOXM1" 0.289
"CDC25A" "HCFC1" 0.233
"CDC25A" "HRAS" 0.289
"CDC25A" "NPM1" 0.263
"CDC25A" "PLK1" 0.336
"CDC25A" "PSMA4" 0.172
"CDC25A" "PSMA7" 0.172
"CDC25A" "PSMB4" 0.172
"CDC25A" "PSMC4" 0.179
"CDC25A" "RRM2" 0.298
"CDC25A" "MCM3AP" NA
"CDC25A" "PKMYT1" 0.359
"CDC25A" "NUDC" 0.067
"CDC25A" "PSME4" 0.156
"CDC25A" "PPAN" 0.034
"CEBPA" "DBP" 0.169
"CEBPA" "GATA2" 0.334
"CEBPA" "SPI1" 0.304
"CEBPA" "PIAS1" 0.27
"CEBPA" "MTA1" 0.221
"CEBPA" "BATF" 0.281
"CHRNG" "RAPSN" 0.251
"CKS1B" "CSNK2B" 0.133
"CKS1B" "DDOST" 0.128
"CKS1B" "DDX11" 0.208
"CKS1B" "EEF1G" 0.11
"CKS1B" "EEF2" 0.199
"CKS1B" "EIF4A2" 0.272
"CKS1B" "EIF5A" 0.138
"CKS1B" "FANCG" 0.102
"CKS1B" "FOXM1" 0.253
"CKS1B" "FRG1" 0.125
"CKS1B" "GNB1" 0.079
"CKS1B" "GNB2" 0.08
"CKS1B" "GTF2H4" 0.162
"CKS1B" "KIFC1" 0.309
"CKS1B" "MARS" 0.132
"CKS1B" "NONO" 0.118
"CKS1B" "NPM1" 0.178
"CKS1B" "P2RY11" 0.127
"CKS1B" "PCBP1" 0.082
"CKS1B" "PCBP2" 0.101
"CKS1B" "PLK1" 0.298
"CKS1B" "POLR2L" 0.156
"CKS1B" "PPIB" 0.126
"CKS1B" "PSMA4" 0.19
"CKS1B" "PSMA7" 0.19
"CKS1B" "PSMB4" 0.19
"CKS1B" "PSMC4" 0.213
"CKS1B" "RAB5B" 0.052
"CKS1B" "RAB5C" 0.059
"CKS1B" "RPL4" 0.145
"CKS1B" "RPL7" 0.124
"CKS1B" "RPL8" 0.153
"CKS1B" "RPL10" 0.143
"CKS1B" "RPL11" 0.173
"CKS1B" "RPL15" 0.153
"CKS1B" "RPL30" 0.119
"CKS1B" "RPL27A" 0.145
"CKS1B" "RPL32" 0.153
"CKS1B" "RPL36AL" NA
"CKS1B" "RPLP0" 0.135
"CKS1B" "RPLP2" 0.145
"CKS1B" "MRPS12" 0.174
"CKS1B" "RPN1" 0.181
"CKS1B" "RPS2" 0.208
"CKS1B" "RPS9" 0.184
"CKS1B" "RRM2" 0.348
"CKS1B" "SET" 0.174
"CKS1B" "SH3GL1" 0.071
"CKS1B" "SMARCD3" 0.142
"CKS1B" "SP1" 0.189
"CKS1B" "SURF4" 0.091
"CKS1B" "TBCA" 0.034
"CKS1B" "UGP2" 0.177
"CKS1B" "UNG" 0.161
"CKS1B" "ZNF35" 0.104
"CKS1B" "HIST1H2AC" 0.08
"CKS1B" "HDAC3" 0.201
"CKS1B" "BAZ1B" 0.172
"CKS1B" "RPL14" 0.124
"CKS1B" "PKMYT1" 0.434
"CKS1B" "ZBED1" 0.266
"CKS1B" "ARPC1B" 0.147
"CKS1B" "PRMT5" 0.198
"CKS1B" "TACC3" 0.262
"CKS1B" "MYBBP1A" 0.229
"CKS1B" "POLD3" 0.179
"CKS1B" "NUDC" 0.017
"CKS1B" "RPL35" 0.142
"CKS1B" "DNAJC9" 0.198
"CKS1B" "HARS2" 0.169
"CKS1B" "RPL13A" 0.174
"CKS1B" "KPNA6" 0
"CKS1B" "TIMM13" 0.023
"CKS1B" "PYCR2" 0.118
"CKS1B" "SEC61A1" 0.011
"CKS1B" "CTNNBL1" 0.12
"CKS1B" "PPAN" 0.034
"CKS1B" "EXOSC5" 0.151
"CKS1B" "XAB2" 0.121
"CKS1B" "PLSCR3" 0.069
"CKS1B" "LSM2" 0.143
"CKS1B" "MRPL17" 0.16
"CKS1B" "CHTF18" 0.427
"CKS1B" "CENPH" 0.034
"CKS1B" "PDCL3" 0.233
"CKS1B" "MUS81" 0.243
"CKS1B" "ANP32E" 0.034
"CKS1B" "SHKBP1" 0.189
"CKS1B" "FTSJ3" 0.147
"CKS1B" "TRAPPC5" 0.026
"CKS1B" "TUBB" 0.181
"CKS1B" "POLR2J2" NA
"CKS1B" "TSEN54" 0.103
"CLCN7" "LAMP1" 0.156
"CNGA2" "KCNK9" NA
"CNTFR" "CRK" 0.19
"CNTFR" "CTF1" 0.237
"COMT" "CSNK2B" 0.086
"COMT" "DBH" 0.465
"COMT" "HINT1" 0.168
"COMT" "MDH2" 0.175
"COMT" "PNMT" 0.623
"COMT" "RGS2" 0.063
"KLF6" "PGK1" 0.204
"KLF6" "RPLP2" 0.16
"KLF6" "SP1" 0.278
"KLF6" "HDAC3" 0.182
"KLF6" "ARPC5" 0.188
"KLF6" "ARPC1B" 0.21
"COX7C" "TIMM8A" 0
"COX7C" "HINT1" 0.208
"COX7C" "IDH2" 0.394
"COX7C" "MDH2" 0.431
"COX7C" "NDUFA3" 0.425
"COX7C" "NDUFB7" 0.425
"COX7C" "NDUFB10" 0.425
"COX7C" "NDUFV1" 0.462
"COX7C" "MRPS12" 0.163
"COX7C" "SDHC" 0.469
"COX7C" "UQCRC2" 0.482
"COX7C" "COX7A2L" 0.407
"COX7C" "COX5A" 0.772
"COX7C" "TIMM13" 0.023
"COX7C" "UQCRQ" 0.609
"COX7C" "NDUFB11" 0.034
"COX7C" "MRPL16" 0.161
"COX7C" "MRPS24" 0.161
"COX7C" "CHCHD4" 0.192
"CRK" "CSK" 0.286
"CRK" "DNM2" 0.282
"CRK" "EPHB3" 0.351
"CRK" "GP9" 0.182
"CRK" "HSPB1" 0.31
"CRK" "ITGA2B" 0.212
"CRK" "KRT16" 0.209
"CRK" "PRKCG" 0.24
"CRK" "SOS1" 0.321
"CRK" "STAT5A" 0.247
"CRK" "TAL1" 0.236
"CRK" "VAV1" 0.368
"CRK" "VWF" 0.269
"CRK" "NCK2" 0.371
"CRK" "SOCS1" 0.314
"CRK" "TNK2" 0.249
"CRK" "EFS" 0.212
"CRK" "TGOLN2" 0.108
"CRK" "FRS3" 0.206
"CRK" "FASTK" 0.157
"CRK" "SH3BP1" 0.346
"CRK" "HSPBP1" 0.141
"CRK" "OPTC" NA
"CRK" "ARHGAP17" 0.253
"CRK" "THOC2" 0.138
"CRK" "MICAL1" 0.219
"CSF3R" "HCK" 0.16
"CSF3R" "STAT3" 0.187
"CSK" "CSNK2B" 0.224
"CSK" "DYNC1H1" 0.242
"CSK" "DNM2" 0.214
"CSK" "FAU" NA
"CSK" "FLII" NA
"CSK" "GNAI2" 0.146
"CSK" "HCK" 0.273
"CSK" "HLA-DRB1" 0.3
"CSK" "ITGA2B" 0.249
"CSK" "SOS1" 0.265
"CSK" "STAT3" 0.193
"CSK" "STAT5A" 0.187
"CSK" "VAV1" 0.331
"CSK" "VWF" 0.216
"CSK" "STK24" 0.219
"CSK" "NCK2" 0.291
"CSK" "PSTPIP1" 0.142
"CSK" "ARHGAP17" 0.203
"CSK" "ILKAP" NA
"CSK" "TUBB" 0.176
"CSNK1E" "CSNK2B" 0.261
"CSNK1E" "DYNC1H1" 0.228
"CSNK1E" "EEF2" 0.186
"CSNK1E" "EIF4A2" 0.17
"CSNK1E" "EIF5A" 0.192
"CSNK1E" "GNB1" 0.174
"CSNK1E" "GNB2" 0.095
"CSNK1E" "GYS1" 0.147
"CSNK1E" "NONO" 0.245
"CSNK1E" "PCBP2" 0.163
"CSNK1E" "PCNT" 0.219
"CSNK1E" "PLK1" 0.367
"CSNK1E" "PSMC4" 0.174
"CSNK1E" "RPLP2" 0.18
"CSNK1E" "RPS9" 0.199
"CSNK1E" "USP11" 0.318
"CSNK1E" "MTA2" 0.128
"CSNK1E" "PRMT5" 0.278
"CSNK1E" "TUBGCP2" 0.088
"CSNK1E" "GSPT2" 0.147
"CSNK1E" "SMAP1" 0.4
"CSNK1E" "KLHDC3" 0.183
"CSNK2B" "DDOST" 0.214
"CSNK2B" "DYNC1H1" 0.205
"CSNK2B" "EEF2" 0.179
"CSNK2B" "EIF4A2" 0.141
"CSNK2B" "EIF5A" 0.157
"CSNK2B" "FAU" NA
"CSNK2B" "GNB1" 0.24
"CSNK2B" "GNB2" 0.104
"CSNK2B" "GTF2H4" 0.167
"CSNK2B" "HCFC1" 0.183
"CSNK2B" "HINT1" 0.179
"CSNK2B" "MARS" 0.195
"CSNK2B" "MDH2" 0.075
"CSNK2B" "MYL6" 0.11
"CSNK2B" "NDUFB7" 0.114
"CSNK2B" "NDUFB10" 0.114
"CSNK2B" "NDUFV1" 0.124
"CSNK2B" "NONO" 0.177
"CSNK2B" "NPM1" 0.261
"CSNK2B" "P2RY11" 0.181
"CSNK2B" "PCBP1" 0.046
"CSNK2B" "PCBP2" 0.172
"CSNK2B" "PGK1" 0.217
"CSNK2B" "POLR2L" 0.175
"CSNK2B" "PPIB" 0.148
"CSNK2B" "PPP2R5A" 0.192
"CSNK2B" "PPP3CC" 0.146
"CSNK2B" "PSMA4" 0.095
"CSNK2B" "PSMA7" 0.095
"CSNK2B" "PSMB4" 0.095
"CSNK2B" "PSMC4" 0.148
"CSNK2B" "RAB5C" 0.2
"CSNK2B" "RANGAP1" 0.122
"CSNK2B" "RPL4" 0.122
"CSNK2B" "RPL7" 0.155
"CSNK2B" "RPL8" 0.126
"CSNK2B" "RPL10" 0.193
"CSNK2B" "RPL15" 0.126
"CSNK2B" "RPL18" 0.126
"CSNK2B" "RPL30" 0.132
"CSNK2B" "RPL27A" 0.122
"CSNK2B" "RPL41" 0.126
"CSNK2B" "RPLP0" 0.216
"CSNK2B" "RPLP2" 0.122
"CSNK2B" "RPN1" 0.091
"CSNK2B" "RPS2" 0.18
"CSNK2B" "RPS9" 0.182
"CSNK2B" "RPS23" 0.158
"CSNK2B" "SET" 0.167
"CSNK2B" "SH3GL1" 0.139
"CSNK2B" "STAT5A" 0.261
"CSNK2B" "SURF4" 0.169
"CSNK2B" "UQCRC2" 0.111
"CSNK2B" "HDAC3" 0.213
"CSNK2B" "RPL14" 0.149
"CSNK2B" "MTA1" 0.177
"CSNK2B" "ZBED1" 0.266
"CSNK2B" "RAB11B" 0.24
"CSNK2B" "ATP6V1F" 0.195
